"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","d_conv","d_model","d_state","dropout","expand","grad_accum_steps","learning_rate","lm_dataset_dir","log_samples_every_n_epochs","max_grad_norm","n_layers","num_train_epochs","pad_token_id","run_name","seq_len","vocab_size","checkpoint","max_new_tokens","mode","model_config","num_params","num_prompts","temperature","tokenizer_dir","enable_ref_metrics","epoch","eval_loss","eval_ppl","eval_tokens","mean_distinct_2","mean_distinct_3","mean_len_tokens","mean_rep_2","mean_rep_3","num_generations","train_loss"
"eval_mamba_tinystories_1M_mamba_best_20260125_195355","finished","-","","","2026-01-25T18:53:57.000Z","941","","1","3","64","16","0","2","","","./lm_dataset/tinystories_1M","","","8","","","","256","10000","results/mamba_tinystories_1M/mamba_best.pt","64","evaluation","","1498752","","0.8","","false","","0.2053852597405658","1.227998072060689","11682048","0.5580985915492958","0.7782696177062375","72.66666666666667","0.4419014084507042","0.2217303822937626","",""
"eval_mamba_tinystories_1M_mamba_best_20260125_165236","finished","-","","","2026-01-25T15:52:37.000Z","911","","1","3","64","16","0","2","","","./lm_dataset/tinystories_1M","","","8","","","","256","10000","results/mamba_tinystories_1M/mamba_best.pt","64","evaluation","","1498752","","0.8","","false","","0.2053852597405658","1.227998072060689","11682048","0.567357850808555","0.7829644533869886","72.66666666666667","0.43264214919144495","0.21703554661301144","",""
"generate_20260125_165140","finished","-","","","2026-01-25T15:51:43.000Z","8","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_1M/mamba_best.pt","128","","configs/mamba_tinystories_1M/model.yaml","","1","0.8","tokenizers/tinystories_1M","","","","","","","","","","","1",""
"generate_20260118_193648","finished","-","","","2026-01-18T18:36:49.000Z","9","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_2k/mamba_best.pt","128","","configs/mamba_tinystories_2k/model.yaml","","1","0.8","tokenizers/tinystories_2k","","","","","","","","","","","1",""
"eval_mamba_tinystories_2k_mamba_best_20260118_193609","finished","-","","","2026-01-18T18:36:11.000Z","15","","1","3","512","16","0.1","2","","","./lm_dataset/tinystories_2k","","","2","","","","256","2048","results/mamba_tinystories_2k/mamba_best.pt","64","evaluation","","5386240","","0.8","","","","4.356710397091108","78.00012249141446","12416","0.9680278870419716","0.9908675799086758","73.33333333333333","0.03197211295802845","0.0091324200913242","",""
"generate_20260113_063630","crashed","-","","","2026-01-13T05:40:51.000Z","0","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_10k/mamba_best.pt","128","","configs/mamba_tinystories_10k/model.yaml","","1","0.8","tokenizers/tinystories_10k","","","","","","","","","","","",""
"eval_mamba_tinystories_10k_mamba_best_20260112_215851","finished","-","","","2026-01-12T20:58:54.000Z","89","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_10k","","","2","","","","256","2576","results/mamba_tinystories_10k/mamba_best.pt","64","evaluation","","891904","","0.8","","","","0.0011629447459427806","1.0011636212283956","2052608","0.576585626722613","0.7899903327985519","75","0.42341437327738696","0.2100096672014481","",""
"generate_20260112_203005","finished","-","","","2026-01-12T19:30:06.000Z","6","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_10k/mamba_best.pt","128","","configs/mamba_tinystories_10k/model.yaml","","1","0.8","tokenizers/tinystories_10k","","","","","","","","","","","1",""
"eval_mamba_tinystories_10k_mamba_best_20260112_141150","finished","-","","","2026-01-12T13:11:52.000Z","87","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_10k","","","2","","","","256","2576","results/mamba_tinystories_10k/mamba_best.pt","64","evaluation","","891904","","0.8","","","","0.0011629447459427806","1.0011636212283956","2052608","0.5720794767370111","0.7763516941599132","75","0.42792052326298896","0.22364830584008663","",""
"generate_20260112_110833","finished","-","","","2026-01-12T10:08:34.000Z","5","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_10k/mamba_best.pt","128","","configs/mamba_tinystories_10k/model.yaml","","1","0.8","tokenizers/tinystories_10k","","","","","","","","","","","1",""
"eval_mamba_tinystories_10k_mamba_best_20260112_110636","finished","-","","","2026-01-12T10:06:38.000Z","88","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_10k","","","2","","","","256","2576","results/mamba_tinystories_10k/mamba_best.pt","64","evaluation","","891904","","0.8","","","","0.0011629447459427806","1.0011636212283956","2052608","0.5945452301616685","0.7944948373030565","75","0.4054547698383315","0.20550516269694355","",""
"generate_20260112_105408","finished","-","","","2026-01-12T09:54:09.000Z","5","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_10k/mamba_best.pt","128","","configs/mamba_tinystories_10k/model.yaml","","1","0.8","tokenizers/tinystories_10k","","","","","","","","","","","1",""
"eval_mamba_tinystories_10k_mamba_best_20260112_094228","finished","-","","","2026-01-12T08:42:29.000Z","89","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_10k","","","2","","","","256","2576","results/mamba_tinystories_10k/mamba_best.pt","64","evaluation","","891904","","0.8","","","","0.0011629447459427806","1.0011636212283956","2052608","0.5947887613641039","0.7946199624281816","75","0.40521123863589614","0.2053800375718184","",""
"generate_20260111_233606","finished","-","","","2026-01-11T22:36:08.000Z","5","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_10k/mamba_best.pt","128","","configs/mamba_tinystories_10k/model.yaml","","1","0.8","tokenizers/tinystories_10k","","","","","","","","","","","1",""
"eval_mamba_tinystories_10k_mamba_best_20260111_232717","finished","-","","","2026-01-11T22:27:19.000Z","88","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_10k","","","2","","","","256","2576","results/mamba_tinystories_10k/mamba_best.pt","64","evaluation","","891904","","0.8","","","","0.0011629447459427806","1.0011636212283956","2052608","0.5919186599294645","0.7953957382039573","73.66666666666667","0.4080813400705356","0.20460426179604263","",""
"generate_20260107_120528","finished","-","","","2026-01-07T11:05:29.000Z","5","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_10k/mamba_best.pt","128","","configs/mamba_tinystories_10k/model.yaml","","1","0.8","tokenizers/tinystories_10k","","","","","","","","","","","1",""
"eval_mamba_tinystories_10k_mamba_best_20260107_120331","finished","-","","","2026-01-07T11:03:32.000Z","91","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_10k","","","2","","","","256","2576","results/mamba_tinystories_10k/mamba_best.pt","64","evaluation","","891904","","0.8","","","","0.0011629447459427806","1.0011636212283956","2052608","0.5811518367682752","0.7899903327985519","75","0.41884816323172486","0.2100096672014481","",""
"generate_20260107_114319","finished","-","","","2026-01-07T10:43:20.000Z","9","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_2k/mamba_best.pt","128","","configs/mamba_tinystories_2k/model.yaml","","1","0.8","tokenizers/tinystories_2k","","","","","","","","","","","1",""
"eval_mamba_tinystories_2k_mamba_best_20260107_114250","finished","-","","","2026-01-07T10:42:52.000Z","13","","1","3","512","16","0.1","2","","","./lm_dataset/tinystories_2k","","","2","","","","256","2048","results/mamba_tinystories_2k/mamba_best.pt","64","evaluation","","5386240","","0.8","","","","4.356710397091108","78.00012249141446","12416","0.9629629629629632","0.9859154929577464","70","0.037037037037037014","0.014084507042253502","",""
"eval_mamba_tinystories_2k_mamba_best_20260107_113415","finished","-","","","2026-01-07T10:34:16.000Z","16","","1","3","512","16","0.1","2","","","./lm_dataset/tinystories_2k","","","2","","","","256","2048","results/mamba_tinystories_2k/mamba_best.pt","64","evaluation","","5386240","","0.8","","","","4.356710397091108","78.00012249141446","12416","0.9627963367093804","0.985965619124362","72","0.037203663290619825","0.014034380875637908","",""
"eval_mamba_tinystories_2k_mamba_best_20260107_112311","finished","-","","","2026-01-07T10:23:13.000Z","14","","1","3","512","16","0.1","2","","","./lm_dataset/tinystories_2k","","","2","","","","256","2048","results/mamba_tinystories_2k/mamba_best.pt","64","evaluation","","5386240","","0.8","","","","4.356710397091108","78.00012249141446","12416","0.9556998556998556","0.9800817539947976","65.33333333333333","0.04430014430014432","0.019918246005202533","",""
"eval_mamba_tinystories_8M_mamba_best_20260104_233726","finished","-","","","2026-01-04T22:37:28.000Z","296","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_8k","","","8","","","","256","8192","results/mamba_tinystories_8k/mamba_best.pt","64","evaluation","","2927872","","0.8","","","","0.11883707302022904","1.1261864171885072","1862912","0.7824074074074074","0.892018779342723","73","0.2175925925925926","0.107981220657277","",""
"eval_mamba_tinystories_8M_mamba_best_20260104_221248","finished","-","","","2026-01-04T21:12:50.000Z","299","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_8k","","","8","","","","256","8192","results/mamba_tinystories_8k/mamba_best.pt","64","evaluation","","2927872","","0.8","","","","0.11883707302022904","1.1261864171885072","1862912","0.7284621578099838","0.8719966859983431","72","0.2715378421900161","0.128003314001657","",""
"generate_20260104_210713","finished","-","","","2026-01-04T20:07:15.000Z","9","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_8k/mamba_best.pt","128","","configs/mamba_tinystories_8k/model.yaml","","1","0.8","tokenizers/tinystories_8k","","","","","","","","","","","1",""
"eval_mamba_tinystories_8M_mamba_best_20260104_210030","finished","-","","","2026-01-04T20:00:32.000Z","302","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_8k","","","8","","","","256","8192","results/mamba_tinystories_8k/mamba_best.pt","64","evaluation","","2927872","","0.8","","","","0.11883707302022904","1.1261864171885072","1862912","0.7222222222222223","0.8591549295774649","73","0.2777777777777778","0.14084507042253522","",""
"generate_20260104_195013","finished","-","","","2026-01-04T18:50:14.000Z","9","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_8k/mamba_best.pt","128","","configs/mamba_tinystories_8k/model.yaml","","1","0.8","tokenizers/tinystories_8k","","","","","","","","","","","1",""
"eval_mamba_tinystories_8M_mamba_best_20260104_194452","finished","-","","","2026-01-04T18:44:54.000Z","297","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_8k","","","8","","","","256","8192","results/mamba_tinystories_8k/mamba_best.pt","64","evaluation","","2927872","","0.8","","","","0.11883707302022904","1.1261864171885072","1862912","0.7096017250126839","0.8551121544079291","73.33333333333333","0.2903982749873161","0.14488784559207094","",""
"generate_20260104_115654","finished","-","","","2026-01-04T10:56:56.000Z","9","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_8k/mamba_best.pt","128","","configs/mamba_tinystories_8k/model.yaml","","1","0.8","tokenizers/tinystories_8k","","","","","","","","","","","1",""
"eval_mamba_tinystories_8M_mamba_best_20260103_232756","finished","-","","","2026-01-03T22:28:23.000Z","301","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_8k","","","8","","","","256","8192","results/mamba_tinystories_8k/mamba_best.pt","64","evaluation","","2927872","","0.8","","","","0.11883707302022904","1.1261864171885072","1862912","0.7697234906139014","0.892605633802817","73.33333333333333","0.23027650938609845","0.10739436619718308","",""
"generate_20260103_201553","finished","-","","","2026-01-03T19:15:55.000Z","9","","","","","","","","","","","","","","","","","","","results/mamba_tinystories_8k/mamba_best.pt","128","","configs/mamba_tinystories_8k/model.yaml","","1","0.8","tokenizers/tinystories_8k","","","","","","","","","","","1",""
"eval_mamba_tinystories_8M_mamba_best_20260103_195030","finished","-","","","2026-01-03T18:50:32.000Z","297","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_8k","","","8","","","","256","8192","results/mamba_tinystories_8k/mamba_best.pt","64","evaluation","","2927872","","0.8","","","","0.11883707302022904","1.1261864171885072","1862912","0.7558980213089802","0.8832159624413146","73.33333333333333","0.2441019786910198","0.11678403755868542","",""
"eval_mamba_tinystories_8M_mamba_best_20260103_172119","failed","-","","","2026-01-03T16:21:21.000Z","1844","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_8k","","","8","","","","256","8192","results/mamba_tinystories_8k/mamba_best.pt","64","evaluation","","2927872","","0.8","","","","0.11883707302022904","1.1261864171885072","1862912","0.7418182248744909","0.8787297975738539","70.66666666666667","0.25818177512550916","0.121270202426146","",""
"eval_mamba_tinystories_8M_mamba_best_20260103_171003","finished","-","","","2026-01-03T16:10:05.000Z","297","","1","3","128","16","0.1","2","","","./lm_dataset/tinystories_8k","","","8","","","","256","8192","results/mamba_tinystories_8k/mamba_best.pt","64","evaluation","","2927872","","0.8","","","","0.11883707302022904","1.1261864171885072","1862912","0.7420091324200914","0.8785863328116849","73.33333333333333","0.2579908675799087","0.12141366718831507","",""
"mamba_tinystories_8k_20260103_065013","crashed","-","","","2026-01-03T05:50:14.000Z","1741","","16","3","128","16","0.1","2","1","0.0003","./lm_dataset/tinystories_8k","1","1","8","4","0","mamba_tinystories_8k_20260103_065013","256","8192","","","","","","","","","","2","0.11885474336507557","1.1262063174666823","","","","","","","","0.2575245623405163"
